threshold,control_ART,control_novoalign,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
mapped read,100,100,4.34,47.73,77.92,89.94,95.81,98.55,99.51,99.84,99.95,99.98,99.99,100,100,100,100,100
unmapped read,0,0,95.66,52.27,22.08,10.06,4.19,1.45,0.49,0.16,0.05,0.02,0.01,0,0,0,0,0
mapped read(inside region),61.66,61.66,2.67,29.44,48.05,55.45,59.08,60.76,61.36,61.56,61.63,61.65,61.66,61.66,61.66,61.66,61.66,61.66
mean (inside region),10,10,0.43,4.77,7.79,8.99,9.58,9.85,9.95,9.98,9.99,9.99,9.99,9.99,10,10,10,10
S.D (inside region),3.16,3.16,0.66,2.19,2.79,3,3.09,314,3.15,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16
mean mapping quality(inside region),99,66.33,66.04,66.36,66.44,66.41,66.34,66.33,66.33,66.33,66.33,66.33,66.33,66.33,66.33,66.33,66.33,66.33
general error,0,0.74,0,0.01,0.4,0.57,0.66,0.71,0.73,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
mismatches (inside region),0,5259838,0,40007,2188059,3635850,4440783,4921189,5133011,5214346,5244508,5254880,5258240,5259345,5259714,5259832,5259855,5259860
insertion (inside region),314,280,0,0,0,0,0,120,175,226,266,273,278,279,280,280,280,280
deletion(inside region),437,401,0,0,0,0,0,158,241,318,362,387,394,399,401,401,401,401
mapped read (outside region),38.34,38.34,1.66,18.3,29.87,34.48,36.73,37.78,38.15,38.28,38.32,38.33,38.34,38.34,38.34,38.34,38.34,38.34
mean(outside region),6.91,6.91,0.3,3.3,5.38,6.21,6.62,6.81,6.87,6.89,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
S.D(outside region),5.32,5.31,0.58,2.86,4.28,4.85,5.12,5.25,5.29,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31
mean mappin quality (outside region),99,65.98,65.71,66.03,66.1,66.09,66,65.99,65.98,65.98,65.98,65.98,65.98,65.98,65.98,65.98,65.98,65.98
general error,0,0.67,0,0.01%,0.36%,0.52,0.59,0.64,0.66,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
mismatches(outside region),0,3273929,0,24772,1359691,2262231,2760842,3059713,3191175,3240907,3260174,3266974,3269100,3269809,3270039,3270167,3270180,3270227
insertion(outside region),188,175,0,0,0,0,0,78,115,142,160,166,172,173,175,175,175,175
deletion(outside region),258,236,0,0,0,0,0,98,148,187,221,230,232,233,236,236,236,236
