control,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160
8.45,1.31,5.16,6.31,7.12,7.58,8.25,9.3,9.3,9.4,9.7,9.6,9.2,9.7,9.11,9.6,9.6,9.6
44.12,8.16,26.18,33.1,35.35,39.25,42.2,44.17,44.1,44.35,44.43,44.59,44.8,44.35,44.31,44.36,44.54,44.45
6.29,8.22,6.35,6.47,6.36,6.18,6.38,6.38,6.13,6.34,6.09,6.27,6.35,6.17,6.27,6.39,6.35,6.24
490,435,484,487,487,488,488,487,489,489,489,489,488,487,488,488,489,489
97,86,96,97,97,97,97,96,97,97,97,97,97,96,97,97,97,97
8.37,1.3,5.19,6.28,7.18,7.45,9.31,9.32,9.18,9.36,9.55,9.48,9.25,9.57,9.19,9.5,9.48,9.48
43.36,7.55,26.19,32.2,36.1,40.6,41.51,45.56,45.51,45.49,46,45.52,45.44,45.46,45.15,45.58,46,45.53
11503474,498444,5492123,8962386,10345426,11022579,11337187,11447727,11485040,11498007,11501925,11503018,11503361,11503439,11503459,11503465,11503466,11503466
96.3,4.2,46,75,86.6,92.3,94.9,95.8,96.1,96.2,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3
443449,19239,211655,345293,398779,424785,436997,441244,442642,443208,443361,443386,443404,443406,443406,443407,443408,443408
3.7,0.2,1.8,2.9,3.3,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
2,11429242,6243147,2639246,1202720,499561,172741,57954,19243,5710,1639,521,160,80,60,53,51,51
0,95.7,52.3,22.1,10.1,4.2,1.4,0.5,0.2,0,0,0,0,0,0,0,0,0
